concept:name,case:concept:name,case:AMOUNT_REQ,StartTime,StartRes,CompleteTime,CompleteRes,Duration,activity_pre,activity,activity_verb,activity_dec,pre_activity,rank_result,result,TimeDiff
A_PREACCEPTED,173694,7000,2011-10-01 08:11:13,112,2011-10-01 08:11:13,112,0.0,a,accept_pre,accept,pre,a_accept_pre,6,approve,43.0
A_ACCEPTED,173694,7000,2011-10-03 13:34:25,11201,2011-10-03 13:34:25,11201,0.0,a,accept,accept,<NO_DESC>,a_accept,5,approve,192192.0
A_FINALIZED,173694,7000,2011-10-03 13:40:14,11201,2011-10-03 13:40:14,11201,0.0,a,finalize,finalize,<NO_DESC>,a_finalize,4,approve,349.0
A_ACTIVATED,173694,7000,2011-11-04 16:04:52,10609,2011-11-04 16:04:52,10609,0.0,a,activate,activate,<NO_DESC>,a_activate,3,approve,2773478.0
A_APPROVED,173694,7000,2011-11-04 16:04:52,10609,2011-11-04 16:04:52,10609,0.0,a,approve,approve,<NO_DESC>,a_approve,1,approve,2773478.0
A_PARTLYSUBMITTED,173718,15000,2011-10-01 10:37:39,112,2011-10-01 10:37:39,112,0.0,a,submit_partial,submit,partial,a_submit_partial,7,approve,0.0
A_SUBMITTED,173718,15000,2011-10-01 10:37:39,112,2011-10-01 10:37:39,112,0.0,a,submit,submit,<NO_DESC>,a_submit,6,approve,0.0
A_PREACCEPTED,173718,15000,2011-10-01 10:38:20,112,2011-10-01 10:38:20,112,0.0,a,accept_pre,accept,pre,a_accept_pre,6,approve,41.0
A_ACCEPTED,173718,15000,2011-10-01 10:42:21,10862,2011-10-01 10:42:21,10862,0.0,a,accept,accept,<NO_DESC>,a_accept,5,approve,241.0
A_FINALIZED,173718,15000,2011-10-01 10:44:40,10862,2011-10-01 10:44:40,10862,0.0,a,finalize,finalize,<NO_DESC>,a_finalize,4,approve,139.0
A_ACTIVATED,173718,15000,2011-10-27 09:17:53,10972,2011-10-27 09:17:53,10972,0.0,a,activate,activate,<NO_DESC>,a_activate,3,approve,2241193.0
A_APPROVED,173718,15000,2011-10-27 09:17:53,10972,2011-10-27 09:17:53,10972,0.0,a,approve,approve,<NO_DESC>,a_approve,1,approve,2241193.0
A_SUBMITTED,173730,15000,2011-10-01 12:36:08,112,2011-10-01 12:36:08,112,0.0,a,submit,submit,<NO_DESC>,a_submit,6,approve,0.0
A_PARTLYSUBMITTED,173730,15000,2011-10-01 12:36:09,112,2011-10-01 12:36:09,112,0.0,a,submit_partial,submit,partial,a_submit_partial,7,approve,1.0
A_PREACCEPTED,173730,15000,2011-10-01 12:36:59,112,2011-10-01 12:36:59,112,0.0,a,accept_pre,accept,pre,a_accept_pre,6,approve,50.0
A_ACCEPTED,173730,15000,2011-10-01 15:36:06,11203,2011-10-01 15:36:06,11203,0.0,a,accept,accept,<NO_DESC>,a_accept,5,approve,10747.0
A_FINALIZED,173730,15000,2011-10-01 15:40:08,11203,2011-10-01 15:40:08,11203,0.0,a,finalize,finalize,<NO_DESC>,a_finalize,4,approve,242.0
A_ACTIVATED,173730,15000,2011-10-21 09:08:14,10972,2011-10-21 09:08:14,10972,0.0,a,activate,activate,<NO_DESC>,a_activate,3,approve,1704486.0
A_APPROVED,173730,15000,2011-10-21 09:08:14,10972,2011-10-21 09:08:14,10972,0.0,a,approve,approve,<NO_DESC>,a_approve,1,approve,1704486.0
A_SUBMITTED,173736,15000,2011-10-01 13:01:58,112,2011-10-01 13:01:58,112,0.0,a,submit,submit,<NO_DESC>,a_submit,6,approve,0.0
A_PARTLYSUBMITTED,173736,15000,2011-10-01 13:01:59,112,2011-10-01 13:01:59,112,0.0,a,submit_partial,submit,partial,a_submit_partial,7,approve,1.0
A_PREACCEPTED,173736,15000,2011-10-01 13:02:44,112,2011-10-01 13:02:44,112,0.0,a,accept_pre,accept,pre,a_accept_pre,6,approve,45.0
A_ACCEPTED,173736,15000,2011-10-01 16:00:15,11203,2011-10-01 16:00:15,11203,0.0,a,accept,accept,<NO_DESC>,a_accept,5,approve,10651.0
A_FINALIZED,173736,15000,2011-10-01 16:05:26,11203,2011-10-01 16:05:26,11203,0.0,a,finalize,finalize,<NO_DESC>,a_finalize,4,approve,311.0
A_ACTIVATED,173736,15000,2011-10-18 12:01:28,10809,2011-10-18 12:01:28,10809,0.0,a,activate,activate,<NO_DESC>,a_activate,3,approve,1454162.0
A_APPROVED,173736,15000,2011-10-18 12:01:28,10809,2011-10-18 12:01:28,10809,0.0,a,approve,approve,<NO_DESC>,a_approve,1,approve,1454162.0
A_PARTLYSUBMITTED,173739,10000,2011-10-01 13:12:58,112,2011-10-01 13:12:58,112,0.0,a,submit_partial,submit,partial,a_submit_partial,7,approve,0.0
A_SUBMITTED,173739,10000,2011-10-01 13:12:58,112,2011-10-01 13:12:58,112,0.0,a,submit,submit,<NO_DESC>,a_submit,6,approve,0.0
A_PREACCEPTED,173739,10000,2011-10-01 13:13:42,112,2011-10-01 13:13:42,112,0.0,a,accept_pre,accept,pre,a_accept_pre,6,approve,44.0
A_ACCEPTED,173739,10000,2011-10-01 15:54:11,11000,2011-10-01 15:54:11,11000,0.0,a,accept,accept,<NO_DESC>,a_accept,5,approve,9629.0
A_FINALIZED,173739,10000,2011-10-01 15:56:39,11000,2011-10-01 15:56:39,11000,0.0,a,finalize,finalize,<NO_DESC>,a_finalize,4,approve,148.0
A_ACTIVATED,173739,10000,2011-10-14 16:22:47,10629,2011-10-14 16:22:47,10629,0.0,a,activate,activate,<NO_DESC>,a_activate,3,approve,1124768.0
A_APPROVED,173739,10000,2011-10-14 16:22:47,10629,2011-10-14 16:22:47,10629,0.0,a,approve,approve,<NO_DESC>,a_approve,1,approve,1124768.0
A_PARTLYSUBMITTED,173751,10000,2011-10-01 14:14:39,112,2011-10-01 14:14:39,112,0.0,a,submit_partial,submit,partial,a_submit_partial,7,approve,0.0
A_SUBMITTED,173751,10000,2011-10-01 14:14:39,112,2011-10-01 14:14:39,112,0.0,a,submit,submit,<NO_DESC>,a_submit,6,approve,0.0
A_PREACCEPTED,173751,10000,2011-10-01 14:15:21,112,2011-10-01 14:15:21,112,0.0,a,accept_pre,accept,pre,a_accept_pre,6,approve,42.0
A_ACCEPTED,173751,10000,2011-10-01 16:43:08,11111,2011-10-01 16:43:08,11111,0.0,a,accept,accept,<NO_DESC>,a_accept,5,approve,8867.0
A_FINALIZED,173751,10000,2011-10-01 16:49:59,11111,2011-10-01 16:49:59,11111,0.0,a,finalize,finalize,<NO_DESC>,a_finalize,4,approve,411.0
A_ACTIVATED,173751,10000,2011-10-11 10:39:30,10138,2011-10-11 10:39:30,10138,0.0,a,activate,activate,<NO_DESC>,a_activate,3,approve,841771.0
A_APPROVED,173751,10000,2011-10-11 10:39:30,10138,2011-10-11 10:39:30,10138,0.0,a,approve,approve,<NO_DESC>,a_approve,1,approve,841771.0
A_PARTLYSUBMITTED,173760,32000,2011-10-01 15:15:17,112,2011-10-01 15:15:17,112,0.0,a,submit_partial,submit,partial,a_submit_partial,7,approve,0.0
A_SUBMITTED,173760,32000,2011-10-01 15:15:17,112,2011-10-01 15:15:17,112,0.0,a,submit,submit,<NO_DESC>,a_submit,6,approve,0.0
A_PREACCEPTED,173760,32000,2011-10-01 15:15:57,112,2011-10-01 15:15:57,112,0.0,a,accept_pre,accept,pre,a_accept_pre,6,approve,40.0
A_ACCEPTED,173760,32000,2011-10-01 15:56:34,11019,2011-10-01 15:56:34,11019,0.0,a,accept,accept,<NO_DESC>,a_accept,5,approve,2437.0
A_FINALIZED,173760,32000,2011-10-01 16:01:43,11019,2011-10-01 16:01:43,11019,0.0,a,finalize,finalize,<NO_DESC>,a_finalize,4,approve,309.0
A_ACTIVATED,173760,32000,2011-10-14 15:41:03,10972,2011-10-14 15:41:03,10972,0.0,a,activate,activate,<NO_DESC>,a_activate,3,approve,1121960.0
A_APPROVED,173760,32000,2011-10-14 15:41:03,10972,2011-10-14 15:41:03,10972,0.0,a,approve,approve,<NO_DESC>,a_approve,1,approve,1121960.0
A_SUBMITTED,173784,5000,2011-10-01 19:05:56,112,2011-10-01 19:05:56,112,0.0,a,submit,submit,<NO_DESC>,a_submit,6,approve,0.0
A_PARTLYSUBMITTED,173784,5000,2011-10-01 19:05:57,112,2011-10-01 19:05:57,112,0.0,a,submit_partial,submit,partial,a_submit_partial,7,approve,1.0
A_PREACCEPTED,173784,5000,2011-10-01 19:06:42,112,2011-10-01 19:06:42,112,0.0,a,accept_pre,accept,pre,a_accept_pre,6,approve,45.0
A_ACCEPTED,173784,5000,2011-10-04 17:35:26,11122,2011-10-04 17:35:26,11122,0.0,a,accept,accept,<NO_DESC>,a_accept,5,approve,253724.0
A_FINALIZED,173784,5000,2011-10-04 17:37:27,11122,2011-10-04 17:37:27,11122,0.0,a,finalize,finalize,<NO_DESC>,a_finalize,4,approve,121.0
A_ACTIVATED,173784,5000,2011-11-15 12:50:28,10609,2011-11-15 12:50:28,10609,0.0,a,activate,activate,<NO_DESC>,a_activate,3,approve,3611581.0
A_APPROVED,173784,5000,2011-11-15 12:50:28,10609,2011-11-15 12:50:28,10609,0.0,a,approve,approve,<NO_DESC>,a_approve,1,approve,3611581.0
A_PARTLYSUBMITTED,173790,5000,2011-10-01 19:14:15,112,2011-10-01 19:14:15,112,0.0,a,submit_partial,submit,partial,a_submit_partial,7,approve,0.0
A_SUBMITTED,173790,5000,2011-10-01 19:14:15,112,2011-10-01 19:14:15,112,0.0,a,submit,submit,<NO_DESC>,a_submit,6,approve,0.0
A_PREACCEPTED,173790,5000,2011-10-01 19:14:57,112,2011-10-01 19:14:57,112,0.0,a,accept_pre,accept,pre,a_accept_pre,6,approve,42.0
A_ACCEPTED,173790,5000,2011-10-03 09:25:01,11120,2011-10-03 09:25:01,11120,0.0,a,accept,accept,<NO_DESC>,a_accept,5,approve,137404.0
A_FINALIZED,173790,5000,2011-10-03 09:26:10,11120,2011-10-03 09:26:10,11120,0.0,a,finalize,finalize,<NO_DESC>,a_finalize,4,approve,69.0
A_ACTIVATED,173790,5000,2011-10-10 14:22:35,10609,2011-10-10 14:22:35,10609,0.0,a,activate,activate,<NO_DESC>,a_activate,3,approve,622585.0
A_APPROVED,173790,5000,2011-10-10 14:22:35,10609,2011-10-10 14:22:35,10609,0.0,a,approve,approve,<NO_DESC>,a_approve,1,approve,622585.0
A_PARTLYSUBMITTED,173793,6000,2011-10-01 19:32:46,112,2011-10-01 19:32:46,112,0.0,a,submit_partial,submit,partial,a_submit_partial,7,approve,0.0
A_SUBMITTED,173793,6000,2011-10-01 19:32:46,112,2011-10-01 19:32:46,112,0.0,a,submit,submit,<NO_DESC>,a_submit,6,approve,0.0
A_PREACCEPTED,173793,6000,2011-10-01 19:33:28,112,2011-10-01 19:33:28,112,0.0,a,accept_pre,accept,pre,a_accept_pre,6,approve,42.0
A_ACCEPTED,173793,6000,2011-10-03 14:50:01,11120,2011-10-03 14:50:01,11120,0.0,a,accept,accept,<NO_DESC>,a_accept,5,approve,155793.0
A_FINALIZED,173793,6000,2011-10-03 14:53:19,11120,2011-10-03 14:53:19,11120,0.0,a,finalize,finalize,<NO_DESC>,a_finalize,4,approve,198.0
A_ACTIVATED,173793,6000,2011-10-18 11:25:03,10609,2011-10-18 11:25:03,10609,0.0,a,activate,activate,<NO_DESC>,a_activate,3,approve,1283504.0
A_APPROVED,173793,6000,2011-10-18 11:25:03,10609,2011-10-18 11:25:03,10609,0.0,a,approve,approve,<NO_DESC>,a_approve,1,approve,1283504.0
A_PARTLYSUBMITTED,173844,15500,2011-10-02 11:03:26,112,2011-10-02 11:03:26,112,0.0,a,submit_partial,submit,partial,a_submit_partial,7,approve,0.0
A_SUBMITTED,173844,15500,2011-10-02 11:03:26,112,2011-10-02 11:03:26,112,0.0,a,submit,submit,<NO_DESC>,a_submit,6,approve,0.0
A_PREACCEPTED,173844,15500,2011-10-02 11:04:15,112,2011-10-02 11:04:15,112,0.0,a,accept_pre,accept,pre,a_accept_pre,6,approve,49.0
A_ACCEPTED,173844,15500,2011-10-03 13:15:57,11201,2011-10-03 13:15:57,11201,0.0,a,accept,accept,<NO_DESC>,a_accept,5,approve,94302.0
A_FINALIZED,173844,15500,2011-10-03 13:19:45,11201,2011-10-03 13:19:45,11201,0.0,a,finalize,finalize,<NO_DESC>,a_finalize,4,approve,228.0
A_ACTIVATED,173844,15500,2011-10-11 14:57:01,10629,2011-10-11 14:57:01,10629,0.0,a,activate,activate,<NO_DESC>,a_activate,3,approve,697036.0
A_APPROVED,173844,15500,2011-10-11 14:57:01,10629,2011-10-11 14:57:01,10629,0.0,a,approve,approve,<NO_DESC>,a_approve,1,approve,697036.0
A_PARTLYSUBMITTED,173880,50000,2011-10-02 13:24:15,112,2011-10-02 13:24:15,112,0.0,a,submit_partial,submit,partial,a_submit_partial,7,approve,0.0
A_SUBMITTED,173880,50000,2011-10-02 13:24:15,112,2011-10-02 13:24:15,112,0.0,a,submit,submit,<NO_DESC>,a_submit,6,approve,0.0
A_PREACCEPTED,173880,50000,2011-10-03 09:31:45,11001,2011-10-03 09:31:45,11001,0.0,a,accept_pre,accept,pre,a_accept_pre,6,approve,72450.0
A_ACCEPTED,173880,50000,2011-10-03 13:58:18,11201,2011-10-03 13:58:18,11201,0.0,a,accept,accept,<NO_DESC>,a_accept,5,approve,15993.0
A_FINALIZED,173880,50000,2011-10-03 14:00:45,11201,2011-10-03 14:00:45,11201,0.0,a,finalize,finalize,<NO_DESC>,a_finalize,4,approve,147.0
A_ACTIVATED,173880,50000,2011-11-04 13:09:38,10138,2011-11-04 13:09:38,10138,0.0,a,activate,activate,<NO_DESC>,a_activate,3,approve,2761733.0
A_APPROVED,173880,50000,2011-11-04 13:09:38,10138,2011-11-04 13:09:38,10138,0.0,a,approve,approve,<NO_DESC>,a_approve,1,approve,2761733.0
A_PARTLYSUBMITTED,173913,5500,2011-10-02 17:18:05,112,2011-10-02 17:18:05,112,0.0,a,submit_partial,submit,partial,a_submit_partial,7,approve,0.0
A_SUBMITTED,173913,5500,2011-10-02 17:18:05,112,2011-10-02 17:18:05,112,0.0,a,submit,submit,<NO_DESC>,a_submit,6,approve,0.0
A_PREACCEPTED,173913,5500,2011-10-02 17:18:41,112,2011-10-02 17:18:41,112,0.0,a,accept_pre,accept,pre,a_accept_pre,6,approve,36.0
A_ACCEPTED,173913,5500,2011-10-03 10:33:01,11202,2011-10-03 10:33:01,11202,0.0,a,accept,accept,<NO_DESC>,a_accept,5,approve,62060.0
A_FINALIZED,173913,5500,2011-10-03 10:43:47,11202,2011-10-03 10:43:47,11202,0.0,a,finalize,finalize,<NO_DESC>,a_finalize,4,approve,646.0
A_ACTIVATED,173913,5500,2011-10-12 16:00:58,10809,2011-10-12 16:00:58,10809,0.0,a,activate,activate,<NO_DESC>,a_activate,3,approve,796631.0
A_APPROVED,173913,5500,2011-10-12 16:00:58,10809,2011-10-12 16:00:58,10809,0.0,a,approve,approve,<NO_DESC>,a_approve,1,approve,796631.0
A_PARTLYSUBMITTED,173928,33000,2011-10-02 18:30:01,112,2011-10-02 18:30:01,112,0.0,a,submit_partial,submit,partial,a_submit_partial,7,approve,0.0
A_SUBMITTED,173928,33000,2011-10-02 18:30:01,112,2011-10-02 18:30:01,112,0.0,a,submit,submit,<NO_DESC>,a_submit,6,approve,0.0
A_PREACCEPTED,173928,33000,2011-10-02 18:30:55,112,2011-10-02 18:30:55,112,0.0,a,accept_pre,accept,pre,a_accept_pre,6,approve,54.0
A_ACCEPTED,173928,33000,2011-10-03 15:23:23,11180,2011-10-03 15:23:23,11180,0.0,a,accept,accept,<NO_DESC>,a_accept,5,approve,75148.0
A_FINALIZED,173928,33000,2011-10-03 15:29:05,11180,2011-10-03 15:29:05,11180,0.0,a,finalize,finalize,<NO_DESC>,a_finalize,4,approve,342.0
A_ACTIVATED,173928,33000,2011-11-29 09:27:25,10972,2011-11-29 09:27:25,10972,0.0,a,activate,activate,<NO_DESC>,a_activate,3,approve,4903100.0
A_APPROVED,173928,33000,2011-11-29 09:27:25,10972,2011-11-29 09:27:25,10972,0.0,a,approve,approve,<NO_DESC>,a_approve,1,approve,4903100.0
A_PARTLYSUBMITTED,173940,7000,2011-10-02 21:08:02,112,2011-10-02 21:08:02,112,0.0,a,submit_partial,submit,partial,a_submit_partial,7,approve,0.0
A_SUBMITTED,173940,7000,2011-10-02 21:08:02,112,2011-10-02 21:08:02,112,0.0,a,submit,submit,<NO_DESC>,a_submit,6,approve,0.0
A_PREACCEPTED,173940,7000,2011-10-02 21:08:42,112,2011-10-02 21:08:42,112,0.0,a,accept_pre,accept,pre,a_accept_pre,6,approve,40.0
A_ACCEPTED,173940,7000,2011-10-03 18:48:40,11119,2011-10-03 18:48:40,11119,0.0,a,accept,accept,<NO_DESC>,a_accept,5,approve,77998.0
A_FINALIZED,173940,7000,2011-10-03 18:51:13,11119,2011-10-03 18:51:13,11119,0.0,a,finalize,finalize,<NO_DESC>,a_finalize,4,approve,153.0
A_ACTIVATED,173940,7000,2011-10-14 08:30:21,10138,2011-10-14 08:30:21,10138,0.0,a,activate,activate,<NO_DESC>,a_activate,3,approve,913148.0
A_APPROVED,173940,7000,2011-10-14 08:30:21,10138,2011-10-14 08:30:21,10138,0.0,a,approve,approve,<NO_DESC>,a_approve,1,approve,913148.0
A_PARTLYSUBMITTED,173955,10000,2011-10-02 23:15:19,112,2011-10-02 23:15:19,112,0.0,a,submit_partial,submit,partial,a_submit_partial,7,approve,0.0
A_SUBMITTED,173955,10000,2011-10-02 23:15:19,112,2011-10-02 23:15:19,112,0.0,a,submit,submit,<NO_DESC>,a_submit,6,approve,0.0
A_PREACCEPTED,173955,10000,2011-10-02 23:16:01,112,2011-10-02 23:16:01,112,0.0,a,accept_pre,accept,pre,a_accept_pre,6,approve,42.0
A_ACCEPTED,173955,10000,2011-10-04 09:19:20,10971,2011-10-04 09:19:20,10971,0.0,a,accept,accept,<NO_DESC>,a_accept,5,approve,122599.0
A_FINALIZED,173955,10000,2011-10-04 09:20:00,10971,2011-10-04 09:20:00,10971,0.0,a,finalize,finalize,<NO_DESC>,a_finalize,4,approve,40.0
A_ACTIVATED,173955,10000,2011-11-29 15:05:21,10972,2011-11-29 15:05:21,10972,0.0,a,activate,activate,<NO_DESC>,a_activate,3,approve,4859121.0
A_APPROVED,173955,10000,2011-11-29 15:05:21,10972,2011-11-29 15:05:21,10972,0.0,a,approve,approve,<NO_DESC>,a_approve,1,approve,4859121.0
A_SUBMITTED,173979,30000,2011-10-03 08:09:57,112,2011-10-03 08:09:57,112,0.0,a,submit,submit,<NO_DESC>,a_submit,6,approve,0.0
A_PARTLYSUBMITTED,173979,30000,2011-10-03 08:10:00,112,2011-10-03 08:10:00,112,0.0,a,submit_partial,submit,partial,a_submit_partial,7,approve,3.0
A_PREACCEPTED,173979,30000,2011-10-03 08:10:43,112,2011-10-03 08:10:43,112,0.0,a,accept_pre,accept,pre,a_accept_pre,6,approve,43.0
A_ACCEPTED,173979,30000,2011-10-03 11:31:50,10913,2011-10-03 11:31:50,10913,0.0,a,accept,accept,<NO_DESC>,a_accept,5,approve,12067.0
A_FINALIZED,173979,30000,2011-10-03 11:35:26,10913,2011-10-03 11:35:26,10913,0.0,a,finalize,finalize,<NO_DESC>,a_finalize,4,approve,216.0
A_ACTIVATED,173979,30000,2011-10-11 14:01:47,10972,2011-10-11 14:01:47,10972,0.0,a,activate,activate,<NO_DESC>,a_activate,3,approve,699981.0
A_APPROVED,173979,30000,2011-10-11 14:01:47,10972,2011-10-11 14:01:47,10972,0.0,a,approve,approve,<NO_DESC>,a_approve,1,approve,699981.0
A_PARTLYSUBMITTED,174036,15000,2011-10-03 12:02:51,112,2011-10-03 12:02:51,112,0.0,a,submit_partial,submit,partial,a_submit_partial,7,approve,0.0
A_SUBMITTED,174036,15000,2011-10-03 12:02:51,112,2011-10-03 12:02:51,112,0.0,a,submit,submit,<NO_DESC>,a_submit,6,approve,0.0
A_PREACCEPTED,174036,15000,2011-10-03 12:03:33,112,2011-10-03 12:03:33,112,0.0,a,accept_pre,accept,pre,a_accept_pre,6,approve,42.0
A_ACCEPTED,174036,15000,2011-10-03 17:41:47,11119,2011-10-03 17:41:47,11119,0.0,a,accept,accept,<NO_DESC>,a_accept,5,approve,20294.0
A_FINALIZED,174036,15000,2011-10-03 17:43:36,11119,2011-10-03 17:43:36,11119,0.0,a,finalize,finalize,<NO_DESC>,a_finalize,4,approve,109.0
A_ACTIVATED,174036,15000,2011-10-18 11:06:51,10809,2011-10-18 11:06:51,10809,0.0,a,activate,activate,<NO_DESC>,a_activate,3,approve,1272195.0
A_APPROVED,174036,15000,2011-10-18 11:06:51,10809,2011-10-18 11:06:51,10809,0.0,a,approve,approve,<NO_DESC>,a_approve,1,approve,1272195.0
A_SUBMITTED,174039,26000,2011-10-03 12:09:32,112,2011-10-03 12:09:32,112,0.0,a,submit,submit,<NO_DESC>,a_submit,6,approve,0.0
A_PARTLYSUBMITTED,174039,26000,2011-10-03 12:09:33,112,2011-10-03 12:09:33,112,0.0,a,submit_partial,submit,partial,a_submit_partial,7,approve,1.0
A_PREACCEPTED,174039,26000,2011-10-03 12:10:15,112,2011-10-03 12:10:15,112,0.0,a,accept_pre,accept,pre,a_accept_pre,6,approve,42.0
A_ACCEPTED,174039,26000,2011-10-10 12:09:41,11189,2011-10-10 12:09:41,11189,0.0,a,accept,accept,<NO_DESC>,a_accept,5,approve,604766.0
A_FINALIZED,174039,26000,2011-10-10 12:12:06,11189,2011-10-10 12:12:06,11189,0.0,a,finalize,finalize,<NO_DESC>,a_finalize,4,approve,145.0
A_ACTIVATED,174039,26000,2011-10-27 10:01:32,10972,2011-10-27 10:01:32,10972,0.0,a,activate,activate,<NO_DESC>,a_activate,3,approve,1460966.0
A_APPROVED,174039,26000,2011-10-27 10:01:32,10972,2011-10-27 10:01:32,10972,0.0,a,approve,approve,<NO_DESC>,a_approve,1,approve,1460966.0
A_SUBMITTED,174042,7500,2011-10-03 12:10:17,112,2011-10-03 12:10:17,112,0.0,a,submit,submit,<NO_DESC>,a_submit,6,approve,0.0
A_PARTLYSUBMITTED,174042,7500,2011-10-03 12:10:18,112,2011-10-03 12:10:18,112,0.0,a,submit_partial,submit,partial,a_submit_partial,7,approve,1.0
A_PREACCEPTED,174042,7500,2011-10-03 12:10:57,112,2011-10-03 12:10:57,112,0.0,a,accept_pre,accept,pre,a_accept_pre,6,approve,39.0
A_ACCEPTED,174042,7500,2011-10-03 12:22:52,11202,2011-10-03 12:22:52,11202,0.0,a,accept,accept,<NO_DESC>,a_accept,5,approve,715.0
A_FINALIZED,174042,7500,2011-10-03 12:27:15,11202,2011-10-03 12:27:15,11202,0.0,a,finalize,finalize,<NO_DESC>,a_finalize,4,approve,263.0
A_ACTIVATED,174042,7500,2011-10-11 16:43:10,10609,2011-10-11 16:43:10,10609,0.0,a,activate,activate,<NO_DESC>,a_activate,3,approve,706555.0
A_APPROVED,174042,7500,2011-10-11 16:43:10,10609,2011-10-11 16:43:10,10609,0.0,a,approve,approve,<NO_DESC>,a_approve,1,approve,706555.0
A_SUBMITTED,174045,25000,2011-10-03 12:15:14,112,2011-10-03 12:15:14,112,0.0,a,submit,submit,<NO_DESC>,a_submit,6,approve,0.0
A_PARTLYSUBMITTED,174045,25000,2011-10-03 12:15:15,112,2011-10-03 12:15:15,112,0.0,a,submit_partial,submit,partial,a_submit_partial,7,approve,1.0
A_PREACCEPTED,174045,25000,2011-10-03 12:16:08,112,2011-10-03 12:16:08,112,0.0,a,accept_pre,accept,pre,a_accept_pre,6,approve,53.0
A_ACCEPTED,174045,25000,2011-10-03 12:18:07,10809,2011-10-03 12:18:07,10809,0.0,a,accept,accept,<NO_DESC>,a_accept,5,approve,119.0
A_FINALIZED,174045,25000,2011-10-03 12:18:43,10809,2011-10-03 12:18:43,10809,0.0,a,finalize,finalize,<NO_DESC>,a_finalize,4,approve,36.0
A_ACTIVATED,174045,25000,2011-10-18 10:10:34,10809,2011-10-18 10:10:34,10809,0.0,a,activate,activate,<NO_DESC>,a_activate,3,approve,1288311.0
A_APPROVED,174045,25000,2011-10-18 10:10:34,10809,2011-10-18 10:10:34,10809,0.0,a,approve,approve,<NO_DESC>,a_approve,1,approve,1288311.0
A_SUBMITTED,174060,6000,2011-10-03 12:55:00,112,2011-10-03 12:55:00,112,0.0,a,submit,submit,<NO_DESC>,a_submit,6,approve,0.0
A_PARTLYSUBMITTED,174060,6000,2011-10-03 12:55:01,112,2011-10-03 12:55:01,112,0.0,a,submit_partial,submit,partial,a_submit_partial,7,approve,1.0
A_PREACCEPTED,174060,6000,2011-10-03 12:55:57,112,2011-10-03 12:55:57,112,0.0,a,accept_pre,accept,pre,a_accept_pre,6,approve,56.0
A_ACCEPTED,174060,6000,2011-10-03 14:24:58,11201,2011-10-03 14:24:58,11201,0.0,a,accept,accept,<NO_DESC>,a_accept,5,approve,5341.0
